country,country_code,continent,population,indicator,weekly_count,year_week,rate_14_day,cumulative_count,source
Albania,ALB,Europe,2845955,Casi per 100.000 abitanti in 14 giorni,2,2020-10,,2,"Epidemic intelligence, national weekly data"
Albania,ALB,Europe,2845955,Casi per 100.000 abitanti in 14 giorni,40,2020-11,1.475778781,42,"Epidemic intelligence, national weekly data"
Albania,ALB,Europe,2845955,Casi per 100.000 abitanti in 14 giorni,47,2020-12,3.056970332,89,"Epidemic intelligence, national weekly data"
Albania,ALB,Europe,2845955,Casi per 100.000 abitanti in 14 giorni,123,2020-13,5.973390303,212,"Epidemic intelligence, national weekly data"
Albania,ALB,Europe,2845955,Casi per 100.000 abitanti in 14 giorni,149,2020-14,9.557424485,361,"Epidemic intelligence, national weekly data"
Albania,ALB,Europe,2845955,Casi per 100.000 abitanti in 14 giorni,85,2020-15,8.222196064,446,"Epidemic intelligence, national weekly data"
Albania,ALB,Europe,2845955,Casi per 100.000 abitanti in 14 giorni,116,2020-16,7.062655594,562,"Epidemic intelligence, national weekly data"
Albania,ALB,Europe,2845955,Casi per 100.000 abitanti in 14 giorni,164,2020-17,9.838525205,726,"Epidemic intelligence, national weekly data"
Albania,ALB,Europe,2845955,Casi per 100.000 abitanti in 14 giorni,69,2020-18,8.187058474,795,"Epidemic intelligence, national weekly data"
Albania,ALB,Europe,2845955,Casi per 100.000 abitanti in 14 giorni,73,2020-19,4.989537783,868,"Epidemic intelligence, national weekly data"
Albania,ALB,Europe,2845955,Casi per 100.000 abitanti in 14 giorni,78,2020-20,5.305776093,946,"Epidemic intelligence, national weekly data"
Albania,ALB,Europe,2845955,Casi per 100.000 abitanti in 14 giorni,52,2020-21,4.567886702,998,"Epidemic intelligence, national weekly data"
Albania,ALB,Europe,2845955,Casi per 100.000 abitanti in 14 giorni,139,2020-22,6.711279693,1137,"Epidemic intelligence, national weekly data"
Albania,ALB,Europe,2845955,Casi per 100.000 abitanti in 14 giorni,109,2020-23,8.714122324,1246,"Epidemic intelligence, national weekly data"
Albania,ALB,Europe,2845955,Casi per 100.000 abitanti in 14 giorni,275,2020-24,13.49283457,1521,"Epidemic intelligence, national weekly data"
Albania,ALB,Europe,2845955,Casi per 100.000 abitanti in 14 giorni,406,2020-25,23.9286988,1927,"Epidemic intelligence, national weekly data"
Albania,ALB,Europe,2845955,Casi per 100.000 abitanti in 14 giorni,475,2020-26,30.95621681,2402,"Epidemic intelligence, national weekly data"
Albania,ALB,Europe,2845955,Casi per 100.000 abitanti in 14 giorni,491,2020-27,33.94291196,2893,"Epidemic intelligence, national weekly data"
Albania,ALB,Europe,2845955,Casi per 100.000 abitanti in 14 giorni,561,2020-28,36.9647447,3454,"Epidemic intelligence, national weekly data"
Albania,ALB,Europe,2845955,Casi per 100.000 abitanti in 14 giorni,636,2020-29,42.05969525,4090,"Epidemic intelligence, national weekly data"
Albania,ALB,Europe,2845955,Casi per 100.000 abitanti in 14 giorni,673,2020-30,45.99510533,4763,"Epidemic intelligence, national weekly data"
Albania,ALB,Europe,2845955,Casi per 100.000 abitanti in 14 giorni,756,2020-31,50.21161614,5519,"Epidemic intelligence, national weekly data"
Albania,ALB,Europe,2845955,Casi per 100.000 abitanti in 14 giorni,892,2020-32,57.90674835,6411,"Epidemic intelligence, national weekly data"
Albania,ALB,Europe,2845955,Casi per 100.000 abitanti in 14 giorni,969,2020-33,65.39105502,7380,"Epidemic intelligence, national weekly data"
Albania,ALB,Europe,2845955,Casi per 100.000 abitanti in 14 giorni,1047,2020-34,70.83738148,8427,"Epidemic intelligence, national weekly data"
Albania,ALB,Europe,2845955,Casi per 100.000 abitanti in 14 giorni,953,2020-35,70.27518004,9380,"Epidemic intelligence, national weekly data"
Albania,ALB,Europe,2845955,Casi per 100.000 abitanti in 14 giorni,875,2020-36,64.23151455,10255,"Epidemic intelligence, national weekly data"
Albania,ALB,Europe,2845955,Casi per 100.000 abitanti in 14 giorni,1098,2020-37,69.32646511,11353,"Epidemic intelligence, national weekly data"
Albania,ALB,Europe,2845955,Casi per 100.000 abitanti in 14 giorni,1032,2020-38,74.84306674,12385,"Epidemic intelligence, national weekly data"
Albania,ALB,Europe,2845955,Casi per 100.000 abitanti in 14 giorni,874,2020-39,66.97224657,13259,"Epidemic intelligence, national weekly data"
Albania,ALB,Europe,2845955,Casi per 100.000 abitanti in 14 giorni,1007,2020-40,66.09380682,14266,"Epidemic intelligence, national weekly data"
Albania,ALB,Europe,2845955,Casi per 100.000 abitanti in 14 giorni,1133,2020-41,75.19444264,15399,"Epidemic intelligence, national weekly data"
Albania,ALB,Europe,2845955,Casi per 100.000 abitanti in 14 giorni,1656,2020-42,97.99873856,17055,"Epidemic intelligence, national weekly data"
Albania,ALB,Europe,2845955,Casi per 100.000 abitanti in 14 giorni,2102,2020-43,132.0470633,19157,"Epidemic intelligence, national weekly data"
Albania,ALB,Europe,2845955,Casi per 100.000 abitanti in 14 giorni,2045,2020-44,145.7155858,21202,"Epidemic intelligence, national weekly data"
Albania,ALB,Europe,2845955,Casi per 100.000 abitanti in 14 giorni,3004,2020-45,177.409692,24206,"Epidemic intelligence, national weekly data"
Albania,ALB,Europe,2845955,Casi per 100.000 abitanti in 14 giorni,3624,2020-46,232.8919466,27830,"Epidemic intelligence, national weekly data"
Albania,ALB,Europe,2845955,Casi per 100.000 abitanti in 14 giorni,4931,2020-47,300.6020826,32761,"Epidemic intelligence, national weekly data"
Albania,ALB,Europe,2845955,Casi per 100.000 abitanti in 14 giorni,4864,2020-48,344.1726942,37625,"Epidemic intelligence, national weekly data"
Albania,ALB,Europe,2845955,Casi per 100.000 abitanti in 14 giorni,5363,2020-49,359.3521331,42988,"Epidemic intelligence, national weekly data"
Albania,ALB,Europe,2845955,Casi per 100.000 abitanti in 14 giorni,5542,2020-50,383.1754191,48530,"Epidemic intelligence, national weekly data"
Albania,ALB,Europe,2845955,Casi per 100.000 abitanti in 14 giorni,4473,2020-51,351.902964,53003,"Epidemic intelligence, national weekly data"
Albania,ALB,Europe,2845955,Casi per 100.000 abitanti in 14 giorni,3569,2020-52,282.5764989,56572,"Epidemic intelligence, national weekly data"
Albania,ALB,Europe,2845955,Casi per 100.000 abitanti in 14 giorni,2866,2020-53,226.1103918,59438,"Epidemic intelligence, national weekly data"
Albania,ALB,Europe,2845955,Casi per 100.000 abitanti in 14 giorni,4157,2021-01,246.7712947,63595,"Epidemic intelligence, national weekly data"
Albania,ALB,Europe,2845955,Casi per 100.000 abitanti in 14 giorni,4095,2021-02,289.9553928,67690,"Epidemic intelligence, national weekly data"
Albania,ALB,Europe,2845955,Casi per 100.000 abitanti in 14 giorni,4584,2021-03,304.9591438,72274,"Epidemic intelligence, national weekly data"
Albania,ALB,Europe,2845955,Casi per 100.000 abitanti in 14 giorni,5853,2021-04,366.731027,78127,"Epidemic intelligence, national weekly data"
Albania,ALB,Europe,2845955,Casi per 100.000 abitanti in 14 giorni,7209,2021-05,458.9672008,85336,"Epidemic intelligence, national weekly data"
