Data,Data ottobre,aggiornamento,Filter,luglio-agosto 2021,ottobre-novembre 2020,proiezione,popup,delta
27/06/21,22/09/20,31/07/21,Incidenza,9.4,18.4,,9.4,
28/06/21,23/09/20,31/07/21,Incidenza,9.2,18.7,,9.2,
29/06/21,24/09/20,31/07/21,Incidenza,9,19.1,,9,
30/06/21,25/09/20,31/07/21,Incidenza,8.7,19.1,,8.7,
01/07/21,26/09/20,31/07/21,Incidenza,8.6,19.5,,8.6,
02/07/21,27/09/20,31/07/21,Incidenza,8.7,19.8,,8.7,
03/07/21,28/09/20,31/07/21,Incidenza,8.8,20,,8.8,
04/07/21,29/09/20,31/07/21,Incidenza,8.9,20.4,,8.9,
05/07/21,30/09/20,31/07/21,Incidenza,9,20.8,,9,
06/07/21,01/10/20,31/07/21,Incidenza,9.4,22,,9.4,
07/07/21,02/10/20,31/07/21,Incidenza,9.8,23,,9.8,
08/07/21,03/10/20,31/07/21,Incidenza,10.7,25,,10.7,
09/07/21,04/10/20,31/07/21,Incidenza,11.7,26,,11.7,
10/07/21,05/10/20,31/07/21,Incidenza,12.4,27,,12.4,
11/07/21,06/10/20,31/07/21,Incidenza,13.4,29,,13.4,
12/07/21,07/10/20,31/07/21,Incidenza,14.1,32,,14.1,
13/07/21,08/10/20,31/07/21,Incidenza,15.2,35,,15.2,
14/07/21,09/10/20,31/07/21,Incidenza,17.1,40,,17.1,
15/07/21,10/10/20,31/07/21,Incidenza,18.9,45,,18.9,
16/07/21,11/10/20,31/07/21,Incidenza,21.4,50,,21.4,
17/07/21,12/10/20,31/07/21,Incidenza,24.3,54,,24.3,
18/07/21,13/10/20,31/07/21,Incidenza,27.3,59,,27.3,
19/07/21,14/10/20,31/07/21,Incidenza,29.3,66,,29.3,
20/07/21,15/10/20,31/07/21,Incidenza,32.7,73,,32.7,
21/07/21,16/10/20,31/07/21,Incidenza,36.2,81,,36.2,
22/07/21,17/10/20,31/07/21,Incidenza,40.6,90,,40.6,
23/07/21,18/10/20,31/07/21,Incidenza,44.4,100,,44.4,
24/07/21,19/10/20,31/07/21,Incidenza,47.8,108,,47.8,
25/07/21,20/10/20,31/07/21,Incidenza,50.6,116,,50.6,
26/07/21,21/10/20,31/07/21,Incidenza,52.3,130,,52.3,
27/07/21,22/10/20,31/07/21,Incidenza,53.9,142,,53.9,
28/07/21,23/10/20,31/07/21,Incidenza,56.4,157,,56.4,
29/07/21,24/10/20,31/07/21,Incidenza,58.2,172,,58.2,
30/07/21,25/10/20,31/07/21,Incidenza,60.7,188,,60.7,
31/07/21,26/10/20,31/07/21,Incidenza,63,201,63,63,
01/08/21,27/10/20,31/07/21,Incidenza,,220,68.1,68.1,
02/08/21,28/10/20,31/07/21,Incidenza,,236,66.9,66.9,
03/08/21,29/10/20,31/07/21,Incidenza,,255,67.3,67.3,
04/08/21,30/10/20,31/07/21,Incidenza,,275,67.8,67.8,
05/08/21,31/10/20,31/07/21,Incidenza,,295,68.2,68.2,
06/08/21,01/11/20,31/07/21,Incidenza,,310,66.9,66.9,
07/08/21,02/11/20,31/07/21,Incidenza,,319,65.5,65.5,
08/08/21,03/11/20,31/07/21,Incidenza,,329,64.9,64.9,
09/08/21,04/11/20,31/07/21,Incidenza,,339,59.4,59.4,
10/08/21,05/11/20,31/07/21,Incidenza,,351,56.3,56.3,
11/08/21,06/11/20,31/07/21,Incidenza,,363,52.7,52.7,
12/08/21,07/11/20,31/07/21,Incidenza,,376,49.9,49.9,
13/08/21,08/11/20,31/07/21,Incidenza,,381,45.9,45.9,
14/08/21,09/11/20,31/07/21,Incidenza,,386,43.8,43.8,
15/08/21,10/11/20,31/07/21,Incidenza,,398,43.1,43.1,
16/08/21,11/11/20,31/07/21,Incidenza,,402,38.2,38.2,
