Data,Data ottobre,aggiornamento,Filter,luglio-agosto 2021,ottobre-novembre 2020,proiezione,popup,delta
27/06/21,22/09/20,26/07/21,Incidenza,9.4,18.4,,9.4,
28/06/21,23/09/20,26/07/21,Incidenza,9.2,18.7,,9.2,
29/06/21,24/09/20,26/07/21,Incidenza,9,19.1,,9,
30/06/21,25/09/20,26/07/21,Incidenza,8.7,19.1,,8.7,
01/07/21,26/09/20,26/07/21,Incidenza,8.6,19.5,,8.6,
02/07/21,27/09/20,26/07/21,Incidenza,8.7,19.8,,8.7,
03/07/21,28/09/20,26/07/21,Incidenza,8.8,20,,8.8,
04/07/21,29/09/20,26/07/21,Incidenza,8.9,20.4,,8.9,
05/07/21,30/09/20,26/07/21,Incidenza,9,20.8,,9,
06/07/21,01/10/20,26/07/21,Incidenza,9.4,22,,9.4,
07/07/21,02/10/20,26/07/21,Incidenza,9.8,23,,9.8,
08/07/21,03/10/20,26/07/21,Incidenza,10.7,25,,10.7,
09/07/21,04/10/20,26/07/21,Incidenza,11.7,26,,11.7,
10/07/21,05/10/20,26/07/21,Incidenza,12.4,27,,12.4,
11/07/21,06/10/20,26/07/21,Incidenza,13.4,29,,13.4,
12/07/21,07/10/20,26/07/21,Incidenza,14.1,32,,14.1,
13/07/21,08/10/20,26/07/21,Incidenza,15.2,35,,15.2,
14/07/21,09/10/20,26/07/21,Incidenza,17.1,40,,17.1,
15/07/21,10/10/20,26/07/21,Incidenza,18.9,45,,18.9,
16/07/21,11/10/20,26/07/21,Incidenza,21.4,50,,21.4,
17/07/21,12/10/20,26/07/21,Incidenza,24.3,54,,24.3,
18/07/21,13/10/20,26/07/21,Incidenza,27.3,59,,27.3,
19/07/21,14/10/20,26/07/21,Incidenza,29.3,66,,29.3,
20/07/21,15/10/20,26/07/21,Incidenza,32.7,73,,32.7,
21/07/21,16/10/20,26/07/21,Incidenza,36.2,81,,36.2,
22/07/21,17/10/20,26/07/21,Incidenza,40.6,90,,40.6,
23/07/21,18/10/20,26/07/21,Incidenza,44.4,100,,44.4,
24/07/21,19/10/20,26/07/21,Incidenza,47.8,108,,47.8,
25/07/21,20/10/20,26/07/21,Incidenza,50.6,116,,50.6,
26/07/21,21/10/20,26/07/21,Incidenza,52.3,130,52.3,52.3,
27/07/21,22/10/20,26/07/21,Incidenza,,142,57.4,57.4,
28/07/21,23/10/20,26/07/21,Incidenza,,157,63.6,63.6,
29/07/21,24/10/20,26/07/21,Incidenza,,172,70.3,70.3,
30/07/21,25/10/20,26/07/21,Incidenza,,188,75,75,
31/07/21,26/10/20,26/07/21,Incidenza,,201,79.9,79.9,
01/08/21,27/10/20,26/07/21,Incidenza,,220,85.9,85.9,
02/08/21,28/10/20,26/07/21,Incidenza,,236,85.4,85.4,
03/08/21,29/10/20,26/07/21,Incidenza,,255,92,92,
04/08/21,30/10/20,26/07/21,Incidenza,,275,98.9,98.9,
05/08/21,31/10/20,26/07/21,Incidenza,,295,107.1,107.1,
06/08/21,01/11/20,26/07/21,Incidenza,,310,109.1,109.1,
07/08/21,02/11/20,26/07/21,Incidenza,,319,111.3,111.3,
08/08/21,03/11/20,26/07/21,Incidenza,,329,112.2,112.2,
09/08/21,04/11/20,26/07/21,Incidenza,,339,106,106,
10/08/21,05/11/20,26/07/21,Incidenza,,351,109.5,109.5,
11/08/21,06/11/20,26/07/21,Incidenza,,363,111.8,111.8,
12/08/21,07/11/20,26/07/21,Incidenza,,376,116.1,116.1,
13/08/21,08/11/20,26/07/21,Incidenza,,381,113.4,113.4,
14/08/21,09/11/20,26/07/21,Incidenza,,386,113.6,113.6,
15/08/21,10/11/20,26/07/21,Incidenza,,398,114.1,114.1,
16/08/21,11/11/20,26/07/21,Incidenza,,402,105.6,105.6,
17/08/21,12/11/20,26/07/21,Incidenza,,408,106.1,106.1,
18/08/21,13/11/20,26/07/21,Incidenza,,413,105.9,105.9,
19/08/21,14/11/20,26/07/21,Incidenza,,408,103.8,103.8,
20/08/21,15/11/20,26/07/21,Incidenza,,411,100.6,100.6,
