Data,CASI,VARIAZIONI,1,2,3,4,5,Regione
1-ott,16,16.1,0,0,0,0,0,Lombardia
2-ott,16,13.9,0,0,0,0,0,Lombardia
3-ott,18,22.3,0,0,0,0,0,Lombardia
4-ott,19,28.7,0,0,0,0,0,Lombardia
5-ott,20,35.1,0,0,0,0,0,Lombardia
6-ott,21,43,0,0,0,0,0,Lombardia
7-ott,25,63.8,0,0,0,0,0,Lombardia
8-ott,28,76.6,0,0,0,0,0,Lombardia
9-ott,35,114.9,0,0,0,0,0,Lombardia
10-ott,43,140.6,0,0,0,0,0,Lombardia
11-ott,50,166.5,0,0,0,0,0,Lombardia
12-ott,54,171.1,0,0,0,0,0,Lombardia
13-ott,62,186.6,0,0,0,0,0,Lombardia
14-ott,75,203.3,0,0,0,0,0,Lombardia
15-ott,89,213.8,0,0,0,0,0,Lombardia
16-ott,103,194.2,0,0,0,0,0,Lombardia
17-ott,118,178.3,0,0,0,0,0,Lombardia
18-ott,138,177.2,0,0,0,0,0,Lombardia
19-ott,148,172.7,0,0,0,0,0,Lombardia
20-ott,157,155.6,0,0,0,0,0,Lombardia
21-ott,180,140.8,0,0,0,0,0,Lombardia
22-ott,201,126.4,0,0,0,0,0,Lombardia
23-ott,226,119.1,0,0,0,0,0,Lombardia
24-ott,249,110.2,0,0,0,0,0,Lombardia
25-ott,277,100.8,0,0,0,0,0,Lombardia
26-ott,296,100,0,0,0,0,0,Lombardia
27-ott,326,107.2,0,0,0,0,0,Lombardia
28-ott,360,100,0,0,0,0,0,Lombardia
29-ott,393,95.5,0,0,0,0,0,Lombardia
30-ott,433,91.8,0,0,0,0,0,Lombardia
31-ott,473,90,0,0,0,0,0,Lombardia
1-nov,502,81.2,0,0,0,0,0,Lombardia
2-nov,519,75.4,0,0,0,0,0,Lombardia
3-nov,536,64.6,0,0,0,0,0,Lombardia
4-nov,538,49.4,0,0,0,0,0,Lombardia
5-nov,553,40.9,0,0,0,0,0,Lombardia
6-nov,563,30,100,0,0,0,0,Lombardia
7-nov,589,24.5,100,0,0,0,0,Lombardia
8-nov,566,12.8,100,0,0,0,0,Lombardia
9-nov,561,8.1,100,0,0,0,0,Lombardia
10-nov,603,12.3,100,0,0,0,0,Lombardia
11-nov,607,12.7,100,0,0,0,0,Lombardia
12-nov,611,10.5,100,0,0,0,0,Lombardia
13-nov,618,9.8,100,0,0,0,0,Lombardia
14-nov,585,-0.7,100,0,0,0,0,Lombardia
15-nov,602,6.4,100,0,0,0,0,Lombardia
16-nov,596,6.2,100,0,0,0,0,Lombardia
17-nov,571,-5.3,100,0,0,0,0,Lombardia
18-nov,565,-6.9,100,0,0,0,0,Lombardia
