Data,0-5,6-12,13-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,TOT,0-5,6-12,13-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,SERIE
14/03/20,0,0,0,0,4,16,61,175,743,947,1946,0,0,0,0,0.205549846,0.822199383,3.134635149,8.992805755,38.18088386,48.663926,
21/03/20,0,0,0,2,13,36,165,512,1467,1760,3955,0,0,0,0.0505689,0.328697851,0.910240202,4.17193426,12.94563843,37.09228824,44.50063211,
28/03/20,0,0,0,1,12,51,238,753,1970,2332,5357,0,0,0,0.018667164,0.224005973,0.952025387,4.442785141,14.05637484,36.77431398,43.53182752,
04/04/20,2,0,0,3,8,48,189,554,1421,2045,4270,0.046838407,0,0,0.070257611,0.18735363,1.12412178,4.426229508,12.97423888,33.27868852,47.89227166,
11/04/20,0,0,0,1,8,44,152,428,952,1750,3335,0,0,0,0.029985007,0.23988006,1.31934033,4.557721139,12.83358321,28.54572714,52.47376312,
18/04/20,0,0,0,1,5,28,114,320,764,1452,2684,0,0,0,0.037257824,0.186289121,1.043219076,4.247391952,11.92250373,28.46497765,54.09836066,
25/04/20,1,0,0,1,6,22,92,235,525,1138,2020,0.04950495,0,0,0.04950495,0.297029703,1.089108911,4.554455446,11.63366337,25.99009901,56.33663366,
02/05/20,0,0,0,0,3,14,47,168,391,835,1458,0,0,0,0,0.205761317,0.960219479,3.223593964,11.52263374,26.8175583,57.2702332,
09/05/20,0,1,0,1,4,8,50,110,278,595,1047,0,0.095510984,0,0.095510984,0.382043935,0.76408787,4.775549188,10.50620821,26.55205349,56.82903534,
16/05/20,0,0,0,2,1,8,43,80,173,445,752,0,0,0,0.265957447,0.132978723,1.063829787,5.718085106,10.63829787,23.00531915,59.17553191,
23/05/20,0,0,0,0,1,10,14,48,97,271,441,0,0,0,0,0.22675737,2.267573696,3.174603175,10.88435374,21.99546485,61.45124717,
30/05/20,0,0,0,1,0,4,20,34,84,192,335,0,0,0,0.298507463,0,1.194029851,5.970149254,10.14925373,25.07462687,57.31343284,
06/06/20,0,0,0,1,0,2,9,27,82,162,283,0,0,0,0.35335689,0,0.706713781,3.180212014,9.540636042,28.97526502,57.24381625,
13/06/20,0,0,0,0,0,1,10,25,44,114,194,0,0,0,0,0,0.515463918,5.154639175,12.88659794,22.68041237,58.7628866,
20/06/20,0,0,0,0,0,4,6,14,42,98,164,0,0,0,0,0,2.43902439,3.658536585,8.536585366,25.6097561,59.75609756,
27/06/20,0,0,0,0,0,1,2,7,32,93,135,0,0,0,0,0,0.740740741,1.481481481,5.185185185,23.7037037,68.88888889,
04/07/20,0,0,0,0,0,1,0,5,19,44,69,0,0,0,0,0,1.449275362,0,7.246376812,27.53623188,63.76811594,
11/07/20,0,0,0,0,0,0,2,6,13,32,53,0,0,0,0,0,0,3.773584906,11.32075472,24.52830189,60.37735849,
18/07/20,0,0,0,0,0,1,4,7,19,36,67,0,0,0,0,0,1.492537313,5.970149254,10.44776119,28.35820896,53.73134328,
25/07/20,0,0,0,0,0,1,2,4,8,30,45,0,0,0,0,0,2.222222222,4.444444444,8.888888889,17.77777778,66.66666667,
01/08/20,0,0,0,0,1,3,2,2,7,23,38,0,0,0,0,2.631578947,7.894736842,5.263157895,5.263157895,18.42105263,60.52631579,
08/08/20,0,0,0,0,0,0,2,2,11,17,32,0,0,0,0,0,0,6.25,6.25,34.375,53.125,
15/08/20,0,0,0,0,0,0,2,1,10,21,34,0,0,0,0,0,0,5.882352941,2.941176471,29.41176471,61.76470588,
22/08/20,0,0,0,0,1,1,3,1,9,18,33,0,0,0,0,3.03030303,3.03030303,9.090909091,3.03030303,27.27272727,54.54545455,
29/08/20,0,0,0,0,0,2,3,3,5,15,28,0,0,0,0,0,7.142857143,10.71428571,10.71428571,17.85714286,53.57142857,
05/09/20,0,0,0,0,0,2,6,6,16,25,55,0,0,0,0,0,3.636363636,10.90909091,10.90909091,29.09090909,45.45454545,
12/09/20,0,0,0,1,0,0,3,3,23,25,55,0,0,0,1.818181818,0,0,5.454545455,5.454545455,41.81818182,45.45454545,
19/09/20,0,0,0,1,1,1,5,12,27,46,93,0,0,0,1.075268817,1.075268817,1.075268817,5.376344086,12.90322581,29.03225806,49.46236559,
26/09/20,0,0,0,0,1,2,4,17,34,51,109,0,0,0,0,0.917431193,1.834862385,3.669724771,15.59633028,31.19266055,46.78899083,
03/10/20,0,0,1,0,1,3,10,10,34,57,116,0,0,0.862068966,0,0.862068966,2.586206897,8.620689655,8.620689655,29.31034483,49.13793103,
10/10/20,0,1,0,0,0,0,10,30,61,95,197,0,0.507614213,0,0,0,0,5.076142132,15.2284264,30.96446701,48.22335025,
17/10/20,0,0,0,0,2,4,22,65,95,236,424,0,0,0,0,0.471698113,0.943396226,5.188679245,15.33018868,22.40566038,55.66037736,
24/10/20,0,0,0,0,4,9,38,85,207,469,812,0,0,0,0,0.492610837,1.108374384,4.679802956,10.4679803,25.49261084,57.75862069,
31/10/20,0,0,1,1,4,15,64,164,452,883,1584,0,0,0.063131313,0.063131313,0.252525253,0.946969697,4.04040404,10.35353535,28.53535354,55.74494949,
07/11/20,0,1,0,2,11,20,95,274,784,1397,2584,0,0.03869969,0,0.077399381,0.425696594,0.773993808,3.676470588,10.60371517,30.34055728,54.06346749,
14/11/20,1,0,0,3,4,55,147,436,1067,1975,3688,0.027114967,0,0,0.081344902,0.10845987,1.49132321,3.985900217,11.82212581,28.93167028,53.55206074,
21/11/20,0,0,2,8,12,51,165,473,1330,2251,4292,0,0,0.046598322,0.18639329,0.279589935,1.188257223,3.844361603,11.02050326,30.98788444,52.44641193,
28/11/20,0,0,1,4,15,49,152,515,1251,2217,4204,0,0,0.02378687,0.095147479,0.356803045,1.165556613,3.615604186,12.25023787,29.75737393,52.73549001,
05/12/20,0,1,0,0,8,27,169,457,1100,1892,3654,0,0.027367269,0,0,0.21893815,0.738916256,4.625068418,12.50684182,30.10399562,51.77887247,
12/12/20,0,0,0,3,9,27,124,407,999,1816,3385,0,0,0,0.088626292,0.265878877,0.797636632,3.663220089,12.02363368,29.51255539,53.64844904,
19/12/20,1,0,1,0,5,31,122,360,891,1683,3094,0.032320621,0,0.032320621,0,0.161603103,1.001939237,3.943115708,11.6354234,28.79767292,54.3956044,
26/12/20,0,0,0,1,6,25,108,295,730,1403,2568,0,0,0,0.03894081,0.23364486,0.973520249,4.205607477,11.48753894,28.42679128,54.63395639,
