REGIONE,,23-dic,24-dic,25-dic,26-dic,27-dic,28-dic,29-dic,30-dic,31-dic,1-gen,2-gen,3-gen,4-gen,5-gen,6-gen,7-gen,8-gen,9-gen,10-gen,11-gen,12-gen,13-gen,14-gen,15-gen,16-gen,17-gen,18-gen,19-gen,20-gen,21-gen
Lombardia,Lombardia,516,621,734,726,751,956,1178,1442,1697,1896,1955,2039,2253,2442,2578,2349,2465,2730,2772,2726,2621,2490,2643,2487,2385,2308,2231,2192,2132,2120
Emilia Romagna,Emilia,380,393,418,427,452,480,527,622,781,977,1116,1218,1338,1553,2260,2416,2476,2670,2808,3074,3186,2783,2856,2920,2891,2822,2763,2809,2797,2804
Veneto,Veneto,610,600,628,600,611,666,752,862,944,1126,1162,1237,1427,1596,1755,1711,1850,2060,2081,2182,2242,2239,2476,2445,2427,2404,2479,2508,2588,2604
Piemonte,Piemonte,440,489,522,521,592,703,852,1021,1182,1268,1294,1293,1586,1756,1817,1727,1979,2157,2251,2207,2212,2227,2390,2300,2267,2290,2278,2245,2259,2261
Friuli VG,Friuli,420,422,445,425,415,434,508,594,722,812,891,916,1171,1347,1517,1486,1672,1831,1927,1959,2017,2007,2222,2223,2214,2227,2278,2352,2452,2464
Valle d'Aosta,Valle,474,470,571,560,603,719,850,964,1183,1317,1388,1552,1726,2049,2256,2283,2524,2787,2911,3075,3069,3087,3252,3057,3071,2847,2730,2649,2622,2506
Liguria,Liguria,588,669,750,795,837,855,889,931,995,1060,1101,1124,1185,1224,1310,1278,1278,1296,1336,1761,1958,2080,2260,2434,2571,2590,2538,2551,2630,2680
PA Trento,Trento,351,376,413,401,437,546,647,794,960,1124,1173,1270,1526,1790,2051,1990,2293,2572,2637,2777,2760,2716,2948,2840,2811,2760,2815,2886,2941,2967
PA Bolzano,Bolzano,404,399,390,376,398,426,443,503,568,643,690,729,880,1045,1218,1239,1523,1710,1840,2164,2340,2538,2846,2935,3010,3050,3273,3405,3469,3547
Marche,Marche,315,343,356,338,339,366,424,487,552,600,621,635,669,698,785,715,762,841,865,874,891,813,1028,1257,1460,1535,1935,2165,2495,2601
Toscana,Toscana,299,357,415,462,513,599,742,1098,1467,1782,1872,1984,2377,2640,2680,2426,2450,2616,2585,2514,2416,2303,2420,2307,2248,2244,2203,2182,2198,2230
Lazio,Lazio,286,310,340,362,385,420,468,518,605,748,824,871,960,1156,1299,1359,1403,1487,1554,1614,1536,1470,1530,1482,1484,1432,1441,1485,1540,1540
Umbria,Umbria,384,484,570,569,663,920,1208,1485,1643,1957,2008,2031,2158,2250,2236,2061,2054,2261,2253,2169,2021,1889,2009,1799,1719,1686,1608,1576,1584,1594
Abruzzo,Abruzzo,230,249,270,260,277,313,335,530,848,1105,1176,1300,1639,1981,2109,1857,1970,2242,2272,2267,2158,2064,2220,2092,2015,1948,1954,1947,1978,1994
Molise,Molise,69,83,93,117,120,125,151,207,328,460,555,560,629,743,775,698,602,779,903,1015,1117,1259,1379,1501,1369,1385,1345,1271,1165,1138
Campania,Campania,281,328,374,367,384,470,596,735,912,1071,1134,1211,1297,1423,1512,1426,1417,1534,1647,1964,2141,2281,2465,2578,2681,2616,2468,2292,2161,2046
Puglia,Puglia,128,128,153,163,172,204,254,332,463,621,812,1008,1177,1369,1529,1648,1801,1838,1819,1912,1873,1814,1892,1860,1884,1917,1924,1960,1973,1842
Basilicata,Basilicata,177,208,226,208,224,275,330,383,441,546,599,638,712,793,876,948,929,1065,1066,1066,1068,1061,1050,1023,962,933,1055,1106,1184,1272
Calabria,Calabria,208,215,234,228,228,261,310,358,430,446,471,502,546,578,632,601,672,720,749,764,768,800,917,925,949,953,987,972,950,873
Sicilia,Sicilia,200,214,236,247,278,306,354,393,459,528,574,621,696,770,983,1061,1199,1384,1455,1596,1714,1654,1670,1605,1514,1436,1340,1239,1169,1116
Sardegna,Sardegna,113,123,141,142,155,172,201,226,272,299,325,330,372,401,436,459,470,480,558,549,554,554,553,579,609,560,541,586,595,598
