periodo,giorni,,1,,ROSSE,2,4,,,,,ARANCIONI,3,GIALLE,5,BIANCHE,aggiornamento
tutte le date,1,11,1a11,157,303,2a11,4a11,68605,5031,316,20,219,3a11,198,5a11,28,31/03/21
tutte le date,2,12,1a12,157,309,2a12,4a12,68099,5309,316,20,218,3a12,198,5a12,30,31/03/21
tutte le date,3,13,1a13,157,314,2a13,4a13,66765,5467,311,20,218,3a13,197,5a13,30,31/03/21
tutte le date,4,14,1a14,141,327,2a14,4a14,66503,5540,311,20,218,3a14,197,5a14,31,31/03/21
tutte le date,5,15,1a15,141,331,2a15,4a15,66393,5690,311,20,218,3a15,201,5a15,31,31/03/21
tutte le date,6,16,1a16,141,328,2a16,4a16,66473,5775,311,20,218,3a16,199,5a16,31,31/03/21
tutte le date,7,17,1a17,141,330,2a17,4a17,66069,5887,311,20,217,3a17,196,5a17,31,31/03/21
tutte le date,8,18,1a18,140,332,2a18,4a18,66162,3844,311,12,217,3a18,195,5a18,32,31/03/21
tutte le date,9,19,1a19,140,328,2a19,4a19,66070,3996,311,12,217,3a19,193,5a19,36,31/03/21
tutte le date,10,20,1a20,140,323,2a20,4a20,65617,4014,311,12,216,3a20,192,5a20,34,31/03/21
tutte le date,11,21,1a21,140,316,2a21,4a21,64384,547,304,1,213,3a21,193,5a21,37,31/03/21
tutte le date,12,22,1a22,140,311,2a22,4a22,63408,568,304,1,210,3a22,200,5a22,38,31/03/21
tutte le date,13,23,1a23,140,311,2a23,4a23,62535,585,304,1,207,3a23,200,5a23,40,31/03/21
tutte le date,14,24,1a24,140,306,2a24,4a24,60020,584,292,1,207,3a24,199,5a24,42,31/03/21
tutte le date,15,25,1a25,137,298,2a25,4a25,59295,575,292,1,204,3a25,199,5a25,43,31/03/21
tutte le date,16,26,1a26,137,287,2a26,4a26,58327,555,292,1,201,3a26,198,5a26,40,31/03/21
tutte le date,17,27,1a27,137,281,2a27,4a27,57613,556,289,1,201,3a27,196,5a27,43,31/03/21
tutte le date,18,28,1a28,89,284,2a28,4a28,53215,556,264,1,203,3a28,192,5a28,41,31/03/21
tutte le date,19,29,1a29,89,265,2a29,4a29,50997,528,247,1,208,3a29,188,5a29,44,31/03/21
tutte le date,20,30,1a30,89,256,2a30,4a30,49425,514,247,1,201,3a30,186,5a30,44,31/03/21
tutte le date,21,31,1a31,89,245,2a31,4a31,49137,0,247,0,199,3a31,185,5a31,47,31/03/21
tutte le date,22,32,1a32,89,236,2a32,4a32,47364,0,238,0,199,3a32,187,5a32,52,31/03/21
tutte le date,23,33,1a33,89,228,2a33,4a33,46793,0,238,0,197,3a33,186,5a33,57,31/03/21
tutte le date,24,34,1a34,89,221,2a34,4a34,45776,0,238,0,192,3a34,186,5a34,61,31/03/21
tutte le date,25,35,1a35,75,201,2a35,4a35,42146,0,227,0,186,3a35,190,5a35,68,31/03/21
tutte le date,26,36,1a36,75,199,2a36,4a36,37151,0,192,0,193,3a36,199,5a36,71,31/03/21
tutte le date,27,37,1a37,75,191,2a37,4a37,36063,0,188,0,192,3a37,200,5a37,84,31/03/21
tutte le date,28,38,1a38,75,184,2a38,4a38,35393,0,188,0,188,3a38,201,5a38,91,31/03/21
novembre 2020 - gennaio 2021,1,11,1a11,68,334,2a11,4a11,48250,0,199,0,242,3a11,225,5a11,#DIV/0!,31/03/21
novembre 2020 - gennaio 2021,2,12,1a12,68,343,2a12,4a12,47395,0,199,0,238,3a12,225,5a12,#DIV/0!,31/03/21
