Data,0-5,6-12,13-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,totale,shift
Prima ondata,0.172,0.046,0.000,0.085,0.318,0.932,2.838,11.148,27.809,35.519,12.688,senza shift temporale (decessi e casi sono considerati alla stessa data)
Seconda ondata,0.006,0.003,0.004,0.012,0.036,0.117,0.418,2.003,7.161,16.967,1.950,senza shift temporale (decessi e casi sono considerati alla stessa data)
Terza ondata,0.003,0.003,0.005,0.012,0.041,0.147,0.597,2.646,8.322,19.152,1.827,senza shift temporale (decessi e casi sono considerati alla stessa data)
Quarta ondata,0.002,0.001,0.001,0.004,0.010,0.024,0.097,0.420,1.596,4.833,0.245,senza shift temporale (decessi e casi sono considerati alla stessa data)
Fase attuale,0.002,0.000,0.000,0.004,0.006,0.010,0.042,0.157,0.568,2.005,0.138,senza shift temporale (decessi e casi sono considerati alla stessa data)
Prima ondata,0.172,0.046,0.000,0.085,0.304,0.899,2.725,10.625,25.643,33.331,11.880,con shift temporale (i decessi si riferiscono ai casi di 21 giorni prima)
Seconda ondata,0.006,0.003,0.005,0.012,0.038,0.136,0.472,2.240,7.979,18.613,2.157,con shift temporale (i decessi si riferiscono ai casi di 21 giorni prima)
Terza ondata,0.005,0.003,0.004,0.011,0.038,0.117,0.509,2.253,6.933,15.126,1.495,con shift temporale (i decessi si riferiscono ai casi di 21 giorni prima)
Quarta ondata,0.002,0.001,0.001,0.004,0.012,0.029,0.113,0.498,1.919,6.143,0.289,con shift temporale (i decessi si riferiscono ai casi di 21 giorni prima)
Fase attuale,0.001,0.000,0.000,0.003,0.005,0.008,0.035,0.150,0.559,1.791,0.113,con shift temporale (i decessi si riferiscono ai casi di 21 giorni prima)
